"time_diff","count"
-1007,1
-928,1
-900,1
-857,1
-855,1
-839,1
-836,1
-808,1
-785,1
-777,1
-775,5
-718,2
-688,1
-686,1
-668,6
-624,7
-594,1
-569,5
-563,3
-535,9
-502,3
-481,3
-456,2
-432,42
-422,3
-418,6
-412,2
-391,1
-390,1
-382,69
-374,8
-365,2
-363,21
-354,1
-340,16
-332,4
-329,3
-316,3
-302,2
-301,10
-282,1
-257,441
-248,3
-241,1
-231,42
-229,41
-218,12
-216,1
-210,5
-206,1
-199,21
-179,23
-176,1
-161,10
-149,255
-140,6
-118,27
-110,2
-109,9
-88,5
-84,1
-80,4
-58,1
-57,7
-49,8
-43,22
-39,217
-36,10
-26,34
-19,10
-10,3
-7,327
-4,17
2,43
6,10
12,22
19,5
20,5
30,1
42,28
43,5
48,3
51,29
63,3
64,39
65,1
67,5
71,1
72,3
79,3
80,1
81,24
85,2
92,3
94,2
95,28
96,13
98,27
102,4
103,6
110,3
112,28
116,2
117,3
118,5
119,1
122,1
125,3
127,11
143,7
147,1
151,12
153,21
157,1
169,176
176,11
177,6
178,1
183,1
184,13
202,9
208,3
212,1
214,2
223,1
224,1
230,2
232,2
234,2
238,1
244,3
255,1
261,2
268,25
269,4
273,5
275,1
276,30
277,2
279,1
293,1
298,62
301,1
306,5
314,176
318,2
320,161
324,2
330,7
331,17
337,23
345,27
353,13
355,1
365,1
367,260
368,2
383,27
385,2
388,1
393,42
395,11
398,29
414,21
423,3
428,4
437,13
444,14
446,4
452,5
453,1
454,1
459,7
461,3
463,1
468,100
469,2
475,10
476,1
477,4
483,2
488,1
490,2
504,3
508,22
512,5
513,21
514,1
518,128
522,41
524,1
529,3
530,1
542,1
543,1
545,2
546,35
553,12
567,7
569,22
577,1
579,2
581,1
584,20
588,10
593,24
596,2
600,1
601,4
612,5
619,2
634,2
635,339
638,1
643,5
662,5
663,2
665,16
673,1
678,2
680,6
704,5
724,10
728,2
738,24
753,2
757,23
805,4
816,61
934,2
965,147
